product,review,star,gender,age
ヒートテックタートルネックT（9分袖）,"息子がセーターを着るとチクチクすると嫌がるので下に着せる為に購入しました。
重宝しています。",4,女性,回答しない
ヒートテックタートルネックT（9分袖）,発売されて以来、夏も冬もタートルネックを毎日愛用してます。今後もずっとそのつもりでいましたが、店舗で販売中止と聞いて途方に暮れております。,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"黒色
急に季節が変わり、バイクに乗るので買いました。てっても保温効果があり、お気に入りになりました。
",5,男性,50代
ヒートテックタートルネックT（9分袖）,"暑がりな為、こちらの商品で十分。
インナーなので、ピッタリめを選択。
",5,男性,20代
ヒートテックタートルネックT（9分袖）,ゴルフをする父親に購入しました。秋冬ゴルフ時期に首まで暖かいそちらを購入して良かったなと思います。早速ゴルフに着ていったそうですが、薄手でゴルフウエアーにも邪魔にならずいい感じだそうです。,5,女性,30代
ヒートテックタートルネックT（9分袖）,数年ぶりにヒートテックインナーを買い替えました。肌触りはとても良くなっている気がしますが着丈に対して袖の長さが短いように感じます。もう少しゆとりが欲しいのでワンサイズ上の購入をおすすめします。,3,男性,30代
ヒートテックタートルネックT（9分袖）,"年を取ると首が冷えてしまうため、首を暖めるためにタートルネックのヒートテックを購入しました。
首が暖かく締め付け感もないため、とても満足です。
色の展開を増やして、店舗でも買えるようしてくれると嬉しいです。",5,男性,30代
ヒートテックタートルネックT（9分袖）,定番の着心地です。が、なかなかリアル店舗で買えません。店舗在庫とカラー展開をお願いしたいです。,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"過去4,5年毎年購入して来ました。
薄さが最高でした。是非再販してください。",1,男性,50代
ヒートテックタートルネックT（9分袖）,以前は5色ぐらいはあったのに2色でそれもオンラインでしか購入できない。せめてホワイトを復活を!!,4,男性,60代以上
ヒートテックタートルネックT（9分袖）,前回と同じくMサイズを購入したが、全体に小さく感じる、ピチピチでした、Lで良かったです,2,男性,50代
ヒートテックタートルネックT（9分袖）,"主人が冬になると、毎年　当たり前のようにヒートテックのタートルネックを購入しています。今年も前に着ていた物を処分後、購入しようと思ったら店舗では、お取り扱いがありません。とのこと…ネットならあります。との事なので、焦って検索しましたが、ＸＬのサイズは、もうありません。なぜ今年から店頭販売しなくなったのでしょうか？
極暖では、生地が厚くてイマイチです。
ぜひ店頭販売をお願いします。

",5,女性,50代
ヒートテックタートルネックT（9分袖）,"今年は店頭にヒートテックのタートルネックが発売されなくてすごく残念です。
薄手のタートルネックはハーフジップと合わせるのにすごく重宝してるので再販強く希望します！",5,男性,30代
ヒートテックタートルネックT（9分袖）,"冬場になると重ね着するので
タートルネックの下着が便利
洗濯物が乾かないので
タートルネックの下着だけ毎日替えてます",5,男性,50代
ヒートテックタートルネックT（9分袖）,毎年、主人用にヒートテックのタートルを購入していますが、今年から店頭では販売しておらず困っていました。極暖を1枚購入しましたが、作業していると暑すぎるようです。他のメーカーを探さないといけません。是非、再販をお願いします。,1,女性,50代
ヒートテックタートルネックT（9分袖）,生地がとてもしっとりヒットします。分厚過ぎず、薄過ぎず丁度良い。,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"主人の仕事が外なので作業着のインナーとしてずーっと愛用してましたが今年急に無くなってショックでした。
ネットで見つけた時はホッとしましたがこのままなくなってしまうのではと不安です。
是非復活を願っております。",5,女性,60代以上
ヒートテックタートルネックT（9分袖）,特にがっしりしているわけではないと思うのだが、自分には首周りがキツい。他のヒートテックと同じでデローンとなってくれたらちょうどいいかもしれないが、そうしたらタートルネックもだらしないし悩みどころ。,3,男性,回答しない
ヒートテックタートルネックT（9分袖）,"今まで毎年のように買っていたヒートテックタートルネックTですが、今年から店頭で販売していなかったので驚きました。
ネットでは販売してたので注文しましたが
もう在庫が無くなり次第無くなってしまうのですか？
極暖はタートルネックがありましたが都会で着るには暑すぎて着られません。
是非、再度販売して頂きたいです。
",5,男性,50代
ヒートテックタートルネックT（9分袖）,クルーネックも持っているが真冬になるとやはり寒くて、タートルを買ってみた。断然に暖かい。クルーネックに合わせてMサイズを購入。身幅は同じく丁度よいが首周りは最初はタイトに感じた。それでLサイズも買い足した。5回くらい着用洗濯したMサイズと新品Lサイズの首幅を比べたら、使用済みMサイズの方が広くなっていた。標準ヒートテックは着用洗濯で伸びてくるので身幅で購入してよいのかも。色が少ないのが不満だがブラックだとTシャツから首元が見えてもそんなに変じゃないのでブラックは良いと思う。極暖のタートルの方は首元がスカスカのようなので暖かさを求めるなら標準ヒートテックのタートルは買いだと思う。,5,男性,回答しない
ヒートテックタートルネックT（9分袖）,こちらのメンズ用タートルネックのヒートテックが店頭には売ってなく、お店で確認したところ今年はメンズ用タートルネックのヒートテックはないとのことで困ってました。たまたまオンラインで見つけて購入できましたが、主人と息子が着るのになくては困るタートルネックのヒートテックです。ぜひ来年は復活お願いします。,5,回答しない,回答しない
ヒートテックタートルネックT（9分袖）,外作業する夫用に購入しました。文句をいつもいう人ですが、素直に着用しているのでいいのだと思います。首周りがきつ目は嫌がるのですが、キツくなく着用できているようです。よかった！,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"仕事の時に　着用させて頂いてます壁のない吹きっさらしの倉庫での　仕事の為　必須アイテムです
腰痛持ちで　コルセットを付けるのですが　レディースでは　丈が短く　作業している間にずれてしまって　困ってしまい　メンズを着用してます
首元が隠れるだけで　寒さの感じ方は違います
お願いですから　失くさないで下さい",5,女性,40代
ヒートテックタートルネックT（9分袖）,"レディースでは袖が短いためメンズのⅯで購入していましたが、今年は短すぎです。9分袖なので、くるぶし-1cmぐらいにはなると思っていたのですがくるぶしから-５ｃｍはさすがに短かいです。
サイズ間違えているのか再確認したぐらいです。
身幅は昨年と変わらずゆったり…1分って3cm短くなるだけだと思うのですが？
今年は未だ1枚しか購入していなかったので買い足しは諦めます。毎年サイズ感が大幅に変わる様なので今後はまとめ買いせず今回のように1枚買って確認してから追加購入の方がいいですね。
　　　",2,女性,回答しない
ヒートテックタートルネックT（9分袖）,"サイズ感、フィット感ともに良好です。首部分がもう少し長くても良かったです。
",4,男性,50代
ヒートテックタートルネックT（9分袖）,アウターシャツの袖口からはみ出さない絶妙な袖丈は、想定以上のフィット感と見た目の良さを実感できました。,5,男性,50代
ヒートテックタートルネックT（9分袖）,"やはり〜首までシッカリあるので
首の後ろが寒くなくて
いいです。",5,女性,60代以上
ヒートテックタートルネックT（9分袖）,"スタッフの方から会社として極暖推しと聞き、店舗で購入できなくなったのが残念。
極暖では厚すぎるので、重ね着するにはちょうど良いと主人の感想。
廃盤になってしまったら困るので、ストック用に買っておきました。
店舗でも購入できるように定番化してほしいです。

",5,女性,50代
ヒートテックタートルネックT（9分袖）,"相変わらず柔らかく暖かいです。
重ね着を、するのにも着やすいです。
ただ　乾燥してしまうのが残念ですが、それでも問題無しだと思います。",4,女性,50代
ヒートテックタートルネックT（9分袖）,薄い生地で下着の代わりなので、かさばらないで暖かく着れます。,4,男性,60代以上
ヒートテックタートルネックT（9分袖）,肌触り着心地暖かさ全てが満足行くものです。黒２枚購入しましたが、アンダーウェアとしても、セーターとか合わせても良しで重宝しています。,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,これで5着目です。汗かきなので冬場でも丁度良い着心地です。,4,男性,40代
ヒートテックタートルネックT（9分袖）,薄いけど暖かいです。少しザラザラしていて気持ちいい。,5,女性,40代
ヒートテックタートルネックT（9分袖）,もう何年になるだろう。冬に近づくと必ず購入して来た。私にとって冬の定番商品。継続販売を望む,4,男性,60代以上
ヒートテックタートルネックT（9分袖）,"薄手のヒートテック
着心地はとても良いです

薄手なのでどの服とどう合わせるかは悩むところです
普通のヒートテックと普通のタートルネックを買った方が使いやすかったかも",4,男性,回答しない
ヒートテックタートルネックT（9分袖）,当初は薄いので暖かいか不安もあったが着てみるととても着心地が良く暖かった。,4,男性,60代以上
ヒートテックタートルネックT（9分袖）,薄くて暖かい。数年おきに購入しています。グレーの在庫が無かったのでブラックを購入しました。,5,男性,50代
ヒートテックタートルネックT（9分袖）,"女性ですが、ネックの高さ・薄さ・着丈・身幅が程よく、また、手首が留まるのが好きで、ヒートテック全般 長年メンズを愛用しています。
164cm・52kgでMサイズです。
マイナスな点は、袖丈が短い事！
せめて10分袖を作って下さい！
女性でも短いと思うので、男性の方はもっとそう思うのではないでしょうか？
手首が寒いです。
長年 袖丈が改良されず残念です。
是非、来期はお願いします！",4,女性,40代
ヒートテックタートルネックT（9分袖）,首も温めたいけど、あまり分厚いのも……というのにこの標準のHEATTECHは最高です。下着ぽくないので、ラウンドネックでのレイヤードがおすすめです。,5,男性,30代
ヒートテックタートルネックT（9分袖）,今まで、毎年購入していましたが、残念です。フリースやセーターの下に重ね着していますので、薄さが良いです。極暖タイプを購入しましたが、ネック周りが大きく首が寒いです。来年は再販してください。カラーもネイビーを出してください。,5,男性,回答しない
ヒートテックタートルネックT（9分袖）,"昨年まで使っていたものがくたびれたので
創業祭を待っての購入です
やはり、新しいのは暖かいと好評です",5,女性,回答しない
ヒートテックタートルネックT（9分袖）,"感謝祭の際に購入し、レビューは遅れましたが、お安く購入出来て良かったです！
着心地も良くて、とても温かいです！
もう少し購入すれば良かったかなと思いました。",5,女性,回答しない
ヒートテックタートルネックT（9分袖）,インナーとして購入。首元が寒いのが苦手なのでちょうどいい,4,男性,50代
ヒートテックタートルネックT（9分袖）,このしょうひんは、フィット感があり、すごくあたたかい！,4,男性,回答しない
ヒートテックタートルネックT（9分袖）,"いつもヒートテックを購入させて頂いています！
極暖では暑いので当初から販売のヒートテックが最良です！！
寒いときはヒートテックを重ね着します。
復活よろしくお願い致しますm(__)m",5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"息子たちのヒートテック タートルネックTを買い替えに行ったら、男性用もキッズも廃盤になっていて手に入らなかったです。

男性用は極暖はありましたが、暑すぎるので買ったことはありません。
発売当初から冬の必需品ですので、是非とも復活をお願いします。",1,女性,40代
ヒートテックタートルネックT（9分袖）,シャツやカーディガンのインナーにも合わせやすく、薄手なのに暖かいので重ね着しても気にならない。,4,男性,60代以上
ヒートテックタートルネックT（9分袖）,これすでに安定の温かさですよ　どのコーデともバッチリ,5,男性,50代
ヒートテックタートルネックT（9分袖）,"夫にタートルネックを買い足そうと店舗に行ったら売ってなくて、店員さんに聞いたら、今年はレディースはお作りがありますがメンズはタートルネックは極暖しか無くなりましたと。極暖では重ね着には暑すぎるんです。
レディースも普通のが無くなり、極薄とかいう名前の付いたタートルネックが何色も色違いで出てるのが今年のものみたいですが、男女共、昔ながらのヒートテックタートルネックをベーシックな色で良いので復活させてください。
ホントに困ってます。",1,回答しない,50代
ヒートテックタートルネックT（9分袖）,タートルネックMでは首周り苦しいのでLにしてみたが、これでも苦しいです。しかし、XLは在庫がない。,2,男性,50代
ヒートテックタートルネックT（9分袖）,"仕事で使用してます。
暖かくて軽いのがとても良い。
",5,男性,50代
ヒートテックタートルネックT（9分袖）,"タートルネックのヒートテックが欲しくて購入。
肌触りが良く心良いです。",5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"極暖ではないヒートテックのタートルがワイシャツの下に着ると快適です。
以前はホワイトもあったと思いますが、もうコレ作らないのでしょうか？
復活を願っています",5,男性,回答しない
ヒートテックタートルネックT（9分袖）,"仕事で着用してます。
冷蔵倉庫で仕事をしているのですが、作業着の下にこれを着用するだけですごく暖かいです！
",5,男性,50代
ヒートテックタートルネックT（9分袖）,"中3の息子用に購入しました。
今までのヒートテックよりも柔らか生地で気持ちいいみたいです！
",5,回答しない,回答しない
ヒートテックタートルネックT（9分袖）,この薄さで大丈夫かと思いますが、しっかりあたたかいです。外仕事をしていますが、極暖などは暑すぎてのぼせてしまうのでこちらを長年愛用してます。シーズンはじめに買いだめします。,5,男性,40代
ヒートテックタートルネックT（9分袖）,"ここ数年はこの製品を冬場のインナーとして愛用してます。グレーと黒をそれぞれ数枚購入し、スーツの日以外は毎日着用してます。
タートルネックですが、首周りもゆとりがあるため、冬場のスポーツ時のインナーとしても活用しています。
取扱い店舗が限られている？もしくは生産数が少ない？最近、店舗での入手性が良くないため、オンラインで在庫がある時にまとめ買いしてます。
極暖などより遥かに薄い、この薄さが気に入っています。",5,男性,40代
ヒートテックタートルネックT（9分袖）,タートルネックなので、首元までとても暖かいです。仕事用と普段着用に色違いで買いました。仕事の時は大袈裟かもしれないけど、これを着て仕事用シャツだけでも平気です。,5,男性,50代
ヒートテックタートルネックT（9分袖）,極暖ではなく超極暖でもないヒートテックのハイネックがインナーには重宝。冬は暖房が効いているので極暖では暑過ぎるのです。でも最近少なくて残念。私が買いそびれただけなのか。,5,男性,40代
ヒートテックタートルネックT（9分袖）,"ブラックを購入、着心地はよく、外出時のインナーとして着用。
首までしっかり暖かい。",5,男性,回答しない
ヒートテックタートルネックT（9分袖）,"寒い時期に、ワイシャツやカジュアルシャツの下に着ている。
ワイシャツの下ではアスコットタイの替わりにもなるし、襟汚れも防げるので重宝している。カラーバリエーションを増やして欲しい、キャメル、ブラウン、ワイン等をよろしく。",5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"暑がりの自分でもさすがに北海道の冬はツラいので購入。
極薄の生地ですが肌に密着したヒートテックなのでとても暖かいですね。
色がブラック・グレーしかないので、色違いの生産を是非検討して頂きたいです。",5,男性,40代
ヒートテックタートルネックT（9分袖）,"肌触りと着心地がよく、しかも、暖かい。
値段も手頃で言うことなし",4,男性,50代
ヒートテックタートルネックT（9分袖）,"タートルネックで袖口がしぼってあるのが暖かくて気に入り購入しました。ヒートテックは毛玉にならないので、毛玉が出来やすい厚手インナーに重ね着するとカットソーのようにきれいに着られます。9分袖なので、女性が着ても長すぎず、
ちょうどよいです。以前のように光らないマットな生地感だと もっとよいと思います。

",5,女性,50代
ヒートテックタートルネックT（9分袖）,"首元がクシャクシャになるので見た目が酷すぎて、全然使わなくなりました。
タートルネックの部分だけでいいから、分厚くしてきちんと立つようにして欲しい。
",1,男性,50代
ヒートテックタートルネックT（9分袖）,"黒のヒートテックはどれも洗濯ですぐ日焼けして茶色くなる。肩だけとか。
そろそろ変色しにくいように改善してほしい。",4,女性,50代
ヒートテックタートルネックT（9分袖）,息子のために購入しました。光熱費の値上がりで効率的な暖房が求められる中、首元も暖かく気にいっているようです。,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"首まわりのゆとりが丁度よく、着心地がいい。
冬は必須。",5,男性,40代
ヒートテックタートルネックT（9分袖）,タートルを着てしまうと首が温かいだけで体感も随分変わります。肌触りも良くインナーにぴったりです。,5,男性,回答しない
ヒートテックタートルネックT（9分袖）,腕が短い方なので、9分袖だと腕周りがうるさくならなくて良いです。,4,男性,50代
ヒートテックタートルネックT（9分袖）,ダークグレイ、薄く暖かい、ネック部分が少し長すぎる。とんでもなく寒い日には良いと思います。,4,男性,50代
ヒートテックタートルネックT（9分袖）,寒さ対策で、黒とグレーを購入しました。正直、ファッション性を損ない、寒さはないよりはマシなのかと思っていましたが、程よく温かくファッション性も悪くありませんでした。ただ長く使うにつれてやや毛玉になりやすい部分があります。毎年進化されているようなので、来年に期待です。,4,男性,50代
ヒートテックタートルネックT（9分袖）,"安定の商品ですね。
肌触りも最高!
また、次のシーズンもリピします",5,男性,40代
